model,condition,feature,raw_n,unique_n,raw_mean,dedup_mean,diff
OLMo 3,Empty-user,Assist.-phrase,687,565,0.3131301687377252,0.3210096034032163,-0.007879434665491125
OLMo 3,Empty-user,Refusal-like,687,565,0.00048520135856380397,0.0005899705014749262,-0.00010476914291112228
OLMo 3,Empty-user,Self-ref.,687,565,0.04636100040782892,0.04920290909319295,-0.0028419086853640266
OLMo 3,Empty-user,Hedging,687,565,0.02506549972864811,0.022816600336245545,0.002248899392402564
OLMo 3,Empty-user,Sent. length,687,565,7.899640719946396,8.084253406377298,-0.18461268643090278
Granite 4.1,BOS-only,Assist.-phrase,1240,1240,0.01097461278817391,0.01097461278817391,0.0
Granite 4.1,BOS-only,Refusal-like,1240,1240,0.0013525874351610677,0.0013525874351610677,0.0
Granite 4.1,BOS-only,Self-ref.,1240,1240,0.00699240412095825,0.00699240412095825,0.0
Granite 4.1,BOS-only,Hedging,1240,1240,0.005677793515217981,0.0056777935152179815,-8.673617379884035e-19
Granite 4.1,BOS-only,Sent. length,1240,1240,21.23020004266843,21.23020004266843,0.0
Granite 4.1,Chat-no-gen,Assist.-phrase,984,984,0.021150333433439705,0.0211503334334397,3.469446951953614e-18
Granite 4.1,Chat-no-gen,Refusal-like,984,984,0.006076990592770371,0.006076990592770369,1.734723475976807e-18
Granite 4.1,Chat-no-gen,Self-ref.,984,984,0.006971852673443965,0.006971852673443965,0.0
Granite 4.1,Chat-no-gen,Hedging,984,984,0.008763015476321504,0.008763015476321504,0.0
Granite 4.1,Chat-no-gen,Sent. length,984,984,19.68863710407854,19.68863710407854,0.0
Granite 4.1,Empty-user,Assist.-phrase,1420,1179,0.44580476768371635,0.4545174753555644,-0.008712707671848063
Granite 4.1,Empty-user,Refusal-like,1420,1179,0.006297481657880385,0.0075847531418067405,-0.0012872714839263551
Granite 4.1,Empty-user,Self-ref.,1420,1179,0.03142864578361406,0.03231650247225729,-0.0008878566886432321
Granite 4.1,Empty-user,Hedging,1420,1179,0.04053411892824681,0.03854302812339369,0.0019910908048531156
Granite 4.1,Empty-user,Sent. length,1420,1179,12.450754576240369,12.511129345429454,-0.06037476918908524
Gemma 4,BOS-only,Assist.-phrase,1810,1810,0.02600014344892499,0.02600014344892499,0.0
Gemma 4,BOS-only,Refusal-like,1810,1810,0.0049787919921122714,0.004978791992112272,-8.673617379884035e-19
Gemma 4,BOS-only,Self-ref.,1810,1810,0.01456413881079654,0.01456413881079654,0.0
Gemma 4,BOS-only,Hedging,1810,1810,0.010755952719309054,0.010755952719309054,0.0
Gemma 4,BOS-only,Sent. length,1810,1810,17.90474178016282,17.904741780162823,-3.552713678800501e-15
Gemma 4,Chat-no-gen,Assist.-phrase,969,969,0.011880217836244879,0.011880217836244877,1.734723475976807e-18
Gemma 4,Chat-no-gen,Refusal-like,969,969,0.00311046168407667,0.0031104616840766704,-4.336808689942018e-19
Gemma 4,Chat-no-gen,Self-ref.,969,969,0.008332042704421996,0.008332042704421996,0.0
Gemma 4,Chat-no-gen,Hedging,969,969,0.006763669323593601,0.0067636693235936,8.673617379884035e-19
Gemma 4,Chat-no-gen,Sent. length,969,969,16.951163063324866,16.951163063324866,0.0
Gemma 4,Empty-user,Assist.-phrase,1891,1878,0.10804731733087444,0.10528974640008001,0.0027575709307944285
Gemma 4,Empty-user,Refusal-like,1891,1878,0.0014454204576186728,0.0014554260305414855,-1.0005572922812704e-05
Gemma 4,Empty-user,Self-ref.,1891,1878,0.058882573961721314,0.05838867705663108,0.0004938969050902325
Gemma 4,Empty-user,Hedging,1891,1878,0.018441131314428767,0.018568785578053675,-0.00012765426362490798
Gemma 4,Empty-user,Sent. length,1891,1878,9.688436638251462,9.68845421526456,-1.7577013098346583e-05
Aya Expanse,BOS-only,Assist.-phrase,1908,1908,0.012109105117171799,0.012109105117171799,0.0
Aya Expanse,BOS-only,Refusal-like,1908,1908,0.003065418911315337,0.003065418911315337,0.0
Aya Expanse,BOS-only,Self-ref.,1908,1908,0.012191584142753615,0.012191584142753613,1.734723475976807e-18
Aya Expanse,BOS-only,Hedging,1908,1908,0.00643028996344199,0.00643028996344199,0.0
